index	BilouMaster Joke's place	Bienvenue sur The Big Place où je partage tous mes trucs./nLes réseaux sociaux c'est chiant, 'va falloir vous bilouter !
digi	Dessins numériques	Des trucs faits avec Photoshop, Illustrator.../nKrita/Inkscape ça le fait aussi !
pixelart	Pixel-Art	Je n'ai pas retrouvé grand chose en pixel art./nJ'ai quasi tout paumé !
sculpture	Trucs bilouteux IRL	Des bricoles en argile, pâte Fimo, pâte à sel./nDu concret, si si.
tradi	Dessins tradis	Peintures et dessins traditionnels.../nEh, j'ai tout archivé depuis mes 5 ans en 1995, sans dec !
creations	Créations	Des trucs créatifs en vrac./nLa création c'est bien.
jeux	Jeux-vidéos	Des vieux projets de jeux-vidéos bilouteux/nque vous pouvez y jouer pour de vrai, oui vraiment.
compositions	Compositions	Les albums que j'ai pondus./nWé je pratique l'artisterie sonore, écoute c'que j'fais.
vieilles-bedes	Vieilles bédés	Pour pouvoir lire ces torchons d'enfance,/nj'ai mis la galerie dans l'ordre chronologique. :D
mauvais-souvenirs	Mauvais souvenirs	J'ai fait trois séjours en HP./nÇa a secoué mon trait.
animation	Animation tradi	J'aimerais sérieusement m'y remettre.../nCette section existe pour me le rappeler. :D/n(me rappeler aussi de vous présenter ça effectivement animé)
modele-vivant	Modèle vivant	Dessins faits dans des ateliers de modèle vivant./nC'est souvent des poses rapides/n(et donc des dessins très rapides)
dessin-et-illustration	Dessin et illustration	C'est dur de différencier ce qui n'est pas gribouillage. :'D
inktobers	Inktobers	Vous savez, ce défi rézosocial où chacun galère à suivre une liste d'un sujet/un dessin par jour pendant tout le mois d'octobre. :D 
gribouillages	Gribouillages	Tout le monde aime les biscuits !
tres-vieux-trucs	Très vieux trucs	De mon n'enfance à c'que j'sois moins n'enfant !/n(5 à 12 ans)
